score,event_id
0.0005007075,245
0.47086567,560
0.0005007075,468
0.0005007075,13
0.0005007075,280
0.0005007075,553
0.0005007075,518
0.0005007075,634
0.0005007075,146
0.0005007075,67
0.0005007075,140
0.5710949,593
0.0005007075,457
0.0005007075,633
0.0005007075,403
0.0005007075,242
0.0005007075,69
0.0005007075,369
0.0005007075,206
0.0005007075,309
0.0005007075,3
0.0005007075,16
0.0005007075,248
0.040762536,378
0.16244707,63
0.0005007075,148
0.0005007075,540
0.0005007075,216
0.0005007075,490
0.0005007075,475
0.0005007075,92
0.0005007075,494
0.0005007075,630
0.0005007075,357
0.0005007075,328
0.0005007075,231
0.0005007075,261
0.0005007075,327
0.0005007075,217
0.0005007075,52
0.0005007075,388
0.0005007075,176
0.0005007075,643
0.0005007075,83
0.0005007075,239
0.0005007075,58
0.0005007075,
0.0005007075,166
0.0005007075,469
0.0005007075,556
0.0005007075,412
0.0005007075,78
0.0005007075,6
0.0005007075,62
0.0005007075,391
0.19870308,463
0.0005007075,334
0.0005007075,308
0.0005007075,325
0.0005007075,281
0.14751893,453
0.0005007075,478
0.0005007075,319
0.0005007075,130
0.0005007075,229
0.0005007075,149
0.0005007075,323
0.5783041,595
0.0005007075,438
0.0005007075,185
0.0005007075,151
0.0005007075,496
0.0005007075,127
0.0012546992,547
0.0005007075,11
0.6805984,575
0.0005007075,236
0.0005007075,10
0.0005007075,346
0.0005007075,8
0.0005007075,228
0.0005007075,135
0.0005007075,191
0.0005007075,433
0.0005007075,394
0.0005007075,291
0.0005007075,202
0.0005007075,270
0.0005007075,255
0.0005007075,421
0.0005007075,230
0.0005007075,368
0.4652259,570
0.0005007075,317
0.0005007075,94
0.016957695,454
0.0005007075,364
0.0005007075,627
0.0005007075,335
0.0005007075,73
0.0005007075,488
0.0005007075,526
0.9856571,624
0.6127335,592
0.0005007075,273
0.0005007075,444
0.0005007075,449
0.0005007075,102
0.0005007075,150
0.0005007075,519
0.0005007075,241
0.54679275,569
0.0005007075,435
0.0005007075,473
0.0005007075,505
0.0005007075,74
0.0005007075,483
0.0005007075,418
0.0005007075,302
0.0005007075,359
0.5165925,585
0.0005007075,365
0.0005007075,389
0.0005007075,34
0.0005007075,300
0.0005007075,
0.0005007075,514
0.0005007075,247
0.0005007075,367
0.0005007075,422
0.0005007075,126
0.0005007075,262
0.0005007075,225
0.0005007075,181
0.0005007075,254
0.0005007075,81
0.0005007075,451
0.0005007075,371
0.0005007075,532
0.0005007075,377
0.0005007075,641
0.0005007075,260
0.0005007075,277
0.0005007075,387
0.0005007075,172
0.0005007075,376
0.743461,615
0.0005007075,413
0.10625171,163
0.0005007075,253
0.0005007075,372
0.0005007075,554
0.0005007075,337
0.2240013,125
0.0005007075,472
0.06977925,513
0.0005007075,324
0.0005007075,282
0.0005007075,200
0.0005007075,48
0.0005007075,118
0.0005007075,557
0.0005007075,9
0.78181034,608
0.0005007075,258
0.0005007075,322
0.73720205,485
0.5120748,565
0.0005007075,226
0.0005007075,637
0.6043069,583
0.0005007075,538
0.039311226,535
0.4986901,584
0.0005007075,503
0.76067275,587
0.0005007075,203
0.0015676138,20
0.0005007075,383
0.0005007075,189
0.0005007075,506
0.0005007075,330
0.93153346,607
0.0005007075,24
0.0005007075,306
0.0005007075,329
0.0005007075,636
0.0005007075,316
0.0005007075,264
0.0005007075,447
0.0005007075,288
0.0005007075,121
0.0005007075,142
0.0005007075,434
0.0005007075,436
0.0005007075,77
0.26024127,339
0.7041058,566
0.0005007075,111
0.0005007075,555
0.0005007075,470
0.0005007075,85
0.0005007075,417
0.0005007075,19
0.6719072,610
0.0005007075,53
0.0005007075,284
0.0005007075,204
0.0005007075,497
0.0005007075,210
0.016618386,466
0.0005007075,251
0.0005007075,4
0.0005007075,68
0.0005007075,182
0.0005007075,638
0.1749202,54
0.0005007075,348
0.0005007075,123
0.0005007075,55
0.000722734,493
0.0005007075,167
0.1045231,179
0.0005007075,537
0.0005007075,479
0.0005007075,404
0.0005007075,307
0.0005007075,196
0.0005007075,71
0.0005007075,543
0.0005007075,398
0.0005007075,46
0.0005007075,144
0.0005007075,100
0.13828637,96
0.0005007075,18
0.0005007075,381
0.0005007075,484
0.0005007075,259
0.0005007075,212
0.0005007075,489
0.0005007075,461
0.0005007075,
0.0005007075,186
0.0005007075,22
0.0009867565,103
0.0005007075,188
0.0005007075,133
0.0005007075,263
0.0005007075,415
0.52216077,603
0.0005007075,423
0.0005007075,143
0.0005007075,399
0.0005007075,523
0.0005007075,429
0.0005007075,480
0.0005007075,198
0.0022720508,37
0.0005007075,180
0.74720234,596
0.0005007075,29
0.30248854,98
0.59168,573
0.17809534,407
0.004286703,352
0.0005007075,343
0.0005007075,157
0.0005007075,139
0.5259001,601
0.0005007075,208
0.0005007075,286
0.14237247,581
0.0005007075,635
0.0005007075,237
0.4080895,269
0.0005007075,116
0.0005007075,504
0.0005007075,546
0.0048418157,209
0.7918262,605
0.0005007075,536
0.0005007075,
0.0005007075,545
0.0005007075,165
0.038213182,129
0.0005007075,120
0.0005007075,70
0.0005007075,141
0.0052758404,501
0.98484457,606
0.0005007075,431
0.0005007075,333
0.9208142,625
0.0005007075,
0.0005007075,400
0.0005007075,293
0.0005007075,401
0.0005007075,298
0.0005007075,84
0.0005007075,17
0.0005007075,64
0.0005007075,122
0.0005007075,268
0.0005007075,321
0.0005007075,240
0.0005007075,50
0.72189057,617
0.0005007075,380
0.8943332,502
0.0005007075,124
0.0005007075,445
0.0005007075,51
0.0005007075,
0.0005007075,187
0.61273533,577
0.071224764,41
0.0005007075,250
0.0005007075,57
0.0005007075,162
0.0005007075,462
0.035534598,197
0.77214634,574
0.0005007075,145
0.0005007075,599
0.0005007075,395
0.0019393298,2
0.0005007075,534
0.0005007075,347
0.0005007075,507
0.0005007075,137
0.0005007075,297
0.0005007075,232
0.42207015,564
0.0005007075,87
0.0005007075,138
0.0005007075,205
0.0022566484,477
0.0005007075,190
0.0005007075,385
0.31951,257
0.0005007075,541
0.0005007075,375
0.6636733,600
0.0005007075,276
0.9901719,588
0.0005007075,194
0.0005007075,113
0.0021283247,106
0.0005007075,396
0.0005007075,406
0.0005007075,465
0.0005007075,299
0.0005007075,14
0.0005007075,93
0.0005007075,174
0.0005007075,345
0.0005007075,207
0.97151184,621
0.0005007075,42
0.0005007075,95
0.0005007075,43
0.0005007075,370
0.0005007075,349
0.0005007075,362
0.0005007075,533
0.0005007075,642
0.0005007075,342
0.0005007075,108
0.0005007075,441
0.0005007075,411
0.0005007075,134
0.0005007075,448
0.9290088,567
0.0005007075,312
0.0005007075,184
0.0005007075,235
0.0005007075,315
0.0005007075,373
0.81911314,626
0.0005007075,458
0.40364933,576
0.0005007075,169
0.0005007075,495
0.0005007075,221
0.538815,613
0.0005007075,551
0.0005007075,170
0.0005007075,439
0.0005007075,159
0.0005007075,227
0.0005007075,295
0.0005007075,56
0.00069201755,275
0.0005007075,104
0.15027359,25
0.0005007075,427
0.0005007075,320
0.0005007075,79
0.0036828993,45
0.0005007075,160
0.0005007075,437
0.0005007075,27
0.5521175,580
0.0005007075,233
0.0005007075,512
0.0005007075,351
0.0005007075,511
0.0005007075,520
0.0005007075,392
0.5587649,243
0.0005007075,238
0.0005007075,548
0.0005007075,455
0.0005007075,509
0.0005007075,430
0.0005007075,402
0.0005007075,340
0.0005007075,153
0.031359,158
0.0005007075,542
0.6221791,578
0.0005007075,28
0.0005007075,35
0.44445327,572
0.0005007075,290
0.0005007075,289
0.0005007075,175
0.0005007075,443
0.48763347,590
0.0005007075,382
0.0005007075,374
0.0005007075,332
0.0005007075,632
0.0005007075,97
0.0005007075,410
0.0005007075,629
0.0005007075,168
0.0005007075,525
0.0005007075,350
0.0005007075,471
0.0005007075,15
0.6475759,256
0.0005007075,215
0.00092082226,379
0.0005007075,341
0.0005007075,440
0.0005007075,303
0.66472995,602
0.0005007075,467
0.4734849,612
0.0005007075,640
0.5523225,559
0.0005007075,550
0.0005007075,
0.0005007075,405
0.0005007075,432
0.0005007075,460
0.0005007075,530
0.3833469,589
0.0005007075,414
0.0005007075,218
0.0005007075,65
0.0005007075,305
0.0005007075,313
0.0005007075,49
0.0005007075,128
0.0005007075,558
0.0005007075,508
0.0005007075,491
0.0005007075,110
0.0005007075,193
0.0005007075,450
0.0005007075,311
0.0005007075,222
0.0005007075,38
0.0005007075,355
0.0005007075,442
0.0028487972,420
0.0005007075,82
0.0005007075,
0.105373874,428
0.00055616576,7
0.0005007075,21
0.0005007075,331
0.0005007075,234
0.0005007075,384
0.49659914,620
0.0005007075,33
0.0011078615,424
0.0005007075,336
0.0005007075,252
0.006716522,105
0.0005007075,199
0.5183516,562
0.0005007075,155
0.0005007075,213
0.0005007075,645
0.0005007075,361
0.0005007075,294
0.9793471,597
0.0005007075,147
0.0005007075,464
0.0005007075,249
0.0005007075,425
0.0005007075,107
0.28362817,618
0.0005007075,529
0.8242798,616
0.0005007075,552
0.40549558,579
0.0005007075,265
0.0005007075,360
0.0005007075,646
0.0005007075,353
0.0005007075,246
0.7810017,582
0.0005007075,39
0.52556133,561
0.0005007075,119
0.0005007075,224
0.0005007075,549
0.0005007075,80
0.0005007075,481
0.73461115,568
0.0005007075,452
0.0005007075,75
0.0005007075,296
0.0005007075,30
0.0005007075,531
0.0005007075,598
0.0005007075,267
0.0005007075,76
0.0005007075,44
0.0005007075,214
0.7170517,586
0.9682866,482
0.0005007075,292
0.0005007075,220
0.8284526,619
0.0005007075,90
0.0005007075,528
0.0005007075,66
0.0005007075,26
0.0005007075,631
0.0005007075,223
0.5926259,594
0.0005007075,177
0.0005007075,366
0.0005007075,500
0.0005007075,1
0.0005007075,354
0.0005007075,304
0.0005007075,285
0.34243223,571
0.0005007075,195
0.0005007075,498
0.41395876,60
0.0005007075,278
0.0005007075,136
0.0005007075,492
0.0005007075,109
0.0005007075,318
0.0005007075,88
0.0005007075,515
0.0005007075,516
0.0005007075,426
0.0005007075,266
0.0005007075,32
0.0005007075,628
0.0005007075,386
0.0005007075,544
0.0005007075,47
0.0005007075,152
0.0005007075,89
0.0005007075,201
0.0005007075,639
0.0005007075,459
0.0005007075,476
0.0005007075,419
0.0005007075,173
0.0005007075,358
0.64386266,591
0.0005007075,517
0.0005007075,72
0.0005007075,61
0.620414,614
0.0005007075,112
0.0005007075,510
0.30987474,12
0.0005007075,101
0.0005007075,301
0.0005007075,338
0.0005007075,314
0.0005007075,272
0.0005007075,219
0.010117273,114
0.0005007075,390
0.0005007075,409
0.0005007075,283
0.0005007075,310
0.0005007075,393
0.0005007075,499
0.0005007075,363
0.0005007075,156
0.0005007075,644
0.0005007075,408
0.0005007075,161
0.0005007075,287
0.40029803,563
0.7234763,622
0.0005007075,164
0.0005007075,271
0.0005007075,416
0.0005007075,131
0.0005007075,86
0.0005007075,36
0.0005007075,274
0.0005007075,446
0.0005007075,456
0.0005007075,521
0.0005007075,539
0.0005007075,397
0.0005007075,132
0.0005007075,5
0.0005007075,
0.40566024,611
0.0005007075,356
0.0005007075,326
0.7319808,604
0.30406,31
0.0005007075,23
0.0005007075,486
0.0005007075,154
0.0005007075,178
0.00081075996,40
0.5989563,609
0.0005007075,91
0.0005007075,522
0.0005007075,192
0.0005007075,279
0.6152961,623
0.0005007075,99
0.0005007075,115
0.0005007075,171
0.0005007075,117
0.0005007075,344
0.0005007075,
0.0005007075,487
0.0005007075,59
0.0005007075,211
0.0005007075,183
0.0005007075,
0.0005007075,
0.0005007075,244
0.0005007075,474
0.0005007075,527
