"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Elev Gain","Elev Loss","Avg Run Cadence","Avg Stride Length","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","4:18.9","4:18.9","1.00","4:19","128","137","1","0","159","1.46","34","19.0","4:05","168","4:18.9","4:19"
"2","4:19.8","8:38.7","1.00","4:20","135","139","2","1","159","1.46","37","15.0","4:05","161","4:19","4:19"
"3","4:14.4","12:53","1.00","4:14","137","140","3","1","159","1.48","36","13.0","4:06","163","4:14.4","4:14"
"4","4:11.7","17:05","1.00","4:12","138","142","1","0","160","1.49","34","11.0","4:00","167","4:11.7","4:12"
"5","4:14.0","21:19","1.00","4:14","139","141","2","0","159","1.48","33","11.0","4:04","163","4:14","4:14"
"6","4:12.4","25:31","1.00","4:12","139","142","2","0","159","1.49","32","10.0","3:53","165","4:12","4:12"
"7","4:02.6","29:34","1.00","4:03","140","142","0","0","160","1.55","30","10.0","3:43","165","4:02.6","4:03"
"8","4:10.0","33:44","1.00","4:10","136","143","1","1","159","1.51","27","9.0","3:50","167","4:09","4:09"
"9","4:12.9","37:57","1.00","4:13","139","143","1","0","160","1.48","30","10.0","3:59","167","4:12.9","4:13"
"10","4:03.2","42:00","1.00","4:03","142","147","1","1","160","1.55","29","9.0","3:48","169","4:03","4:03"
"11","4:02.3","46:02","1.00","4:02","144","147","0","1","160","1.55","33","9.0","3:49","165","4:02.3","4:02"
"12","4:11.0","50:13","1.00","4:11","142","145","0","2","159","1.50","30","8.0","3:58","165","4:11.0","4:11"
"13","4:05.6","54:19","1.00","4:06","143","146","1","0","159","1.53","27","8.0","3:59","165","4:05","4:05"
"14","3:59.5","58:18","1.00","3:59","143","146","0","2","160","1.57","26","8.0","3:46","163","3:59.5","3:59"
"15","3:58.2","1:02:16","1.00","3:58","146","150","2","1","157","1.61","29","8.0","3:45","161","3:58","3:58"
"16","2:28.6","1:04:45","0.66","3:47","147","149","0","1","158","1.67","20","8.0","3:44","163","2:28","3:46"
"Summary","1:04:45","1:04:45","15.66","4:08","140","150","18","13","159","1.52","487","10.5","3:43","169","1:04:41","4:08"